[0, 0, 0, 0]
[1, 0, 0, 1]
[2, 0, 0, 2]
[3, 0, 0, 3]
[4, 0, 0, 4]
[4, 1, 1, 1]
[4, 2, 1, 2]
[4, 3, 1, 3]
[4, 4, 1, 4]
[4, 5, 1, 5]
[4, 6, 1, 6]
[4, 7, 1, 7]
[4, 8, 1, 8]
[5, 8, 0, 1]
[6, 8, 0, 2]
[7, 8, 0, 3]
[8, 8, 0, 4]
[8, 9, 1, 1]
[8, 10, 1, 2]
[8, 11, 1, 3]
[8, 12, 1, 4]
[8, 13, 1, 5]
[8, 14, 1, 6]
[8, 15, 1, 7]
[8, 16, 1, 8]
[8, 17, 1, 9]
[8, 18, 1, 10]
[9, 18, 0, 1]
[10, 18, 0, 2]
[11, 18, 0, 3]
[12, 18, 0, 4]
[12, 19, 1, 1]
[12, 20, 1, 2]
[12, 21, 1, 3]
[12, 22, 1, 4]
[12, 23, 1, 5]
[12, 24, 1, 6]
[12, 25, 1, 7]
[12, 26, 1, 8]
[12, 27, 1, 9]
[12, 28, 1, 10]
[11, 28, 2, 1]
[10, 28, 2, 2]
[9, 28, 2, 3]
[8, 28, 2, 4]
[7, 28, 2, 5]
[7, 29, 1, 1]
[7, 30, 1, 2]
[7, 31, 1, 3]
[7, 32, 1, 4]
[7, 33, 1, 5]
[7, 34, 1, 6]
[7, 35, 1, 7]
[6, 35, 2, 1]
[5, 35, 2, 2]
[4, 35, 2, 3]
[3, 35, 2, 4]
[2, 35, 2, 5]
[2, 36, 1, 1]
[2, 37, 1, 2]
[2, 38, 1, 3]
[2, 39, 1, 4]
[2, 40, 1, 5]
[2, 41, 1, 6]
[2, 42, 1, 7]
[2, 43, 1, 8]
[2, 44, 1, 9]
[2, 45, 1, 10]
[3, 45, 0, 1]
[4, 45, 0, 2]
[5, 45, 0, 3]
[6, 45, 0, 4]
[6, 46, 1, 1]
[6, 47, 1, 2]
[6, 48, 1, 3]
[6, 49, 1, 4]
[6, 50, 1, 5]
[6, 51, 1, 6]
[6, 52, 1, 7]
[6, 53, 1, 8]
[6, 54, 1, 9]
[5, 54, 2, 1]
[4, 54, 2, 2]
[3, 54, 2, 3]
[2, 54, 2, 4]
[1, 54, 2, 5]
[1, 55, 1, 1]
[1, 56, 1, 2]
[1, 57, 1, 3]
[1, 58, 1, 4]
[1, 59, 1, 5]
[1, 60, 1, 6]
[1, 61, 1, 7]
[1, 62, 1, 8]
[1, 63, 1, 9]
[1, 64, 1, 10]
[2, 64, 0, 1]
[3, 64, 0, 2]
[4, 64, 0, 3]
[5, 64, 0, 4]
[5, 65, 1, 1]
[5, 66, 1, 2]
[5, 67, 1, 3]
[5, 68, 1, 4]
[5, 69, 1, 5]
[5, 70, 1, 6]
[5, 71, 1, 7]
[5, 72, 1, 8]
[5, 73, 1, 9]
[5, 74, 1, 10]
[4, 74, 2, 1]
[3, 74, 2, 2]
[2, 74, 2, 3]
[1, 74, 2, 4]
[1, 75, 1, 1]
[1, 76, 1, 2]
[1, 77, 1, 3]
[1, 78, 1, 4]
[1, 79, 1, 5]
[1, 80, 1, 6]
[2, 80, 0, 1]
[3, 80, 0, 2]
[4, 80, 0, 3]
[5, 80, 0, 4]
[6, 80, 0, 5]
[6, 81, 1, 1]
[6, 82, 1, 2]
[6, 83, 1, 3]
[6, 84, 1, 4]
[6, 85, 1, 5]
[6, 86, 1, 6]
[5, 86, 2, 1]
[4, 86, 2, 2]
[3, 86, 2, 3]
[2, 86, 2, 4]
[2, 87, 1, 1]
[2, 88, 1, 2]
[2, 89, 1, 3]
[2, 90, 1, 4]
[2, 91, 1, 5]
[2, 92, 1, 6]
[2, 93, 1, 7]
[2, 94, 1, 8]
[2, 95, 1, 9]
[3, 95, 0, 1]
[4, 95, 0, 2]
[5, 95, 0, 3]
[6, 95, 0, 4]
[7, 95, 0, 5]
[8, 95, 0, 6]
[8, 96, 1, 1]
[8, 97, 1, 2]
[8, 98, 1, 3]
[8, 99, 1, 4]
[9, 99, 0, 1]
[10, 99, 0, 2]
[11, 99, 0, 3]
[12, 99, 0, 4]
[12, 100, 1, 1]
[12, 101, 1, 2]
[12, 102, 1, 3]
[12, 103, 1, 4]
[12, 104, 1, 5]
[12, 105, 1, 6]
[12, 106, 1, 7]
[12, 107, 1, 8]
[13, 107, 0, 1]
[14, 107, 0, 2]
[15, 107, 0, 3]
[16, 107, 0, 4]
[17, 107, 0, 5]
[18, 107, 0, 6]
[18, 108, 1, 1]
[18, 109, 1, 2]
[18, 110, 1, 3]
[18, 111, 1, 4]
[18, 112, 1, 5]
[18, 113, 1, 6]
[19, 113, 0, 1]
[20, 113, 0, 2]
[21, 113, 0, 3]
[22, 113, 0, 4]
[23, 113, 0, 5]
[23, 114, 1, 1]
[23, 115, 1, 2]
[23, 116, 1, 3]
[23, 117, 1, 4]
[23, 118, 1, 5]
[23, 119, 1, 6]
[24, 119, 0, 1]
[25, 119, 0, 2]
[26, 119, 0, 3]
[27, 119, 0, 4]
[27, 120, 1, 1]
[27, 121, 1, 2]
[27, 122, 1, 3]
[27, 123, 1, 4]
[27, 124, 1, 5]
[28, 124, 0, 1]
[29, 124, 0, 2]
[30, 124, 0, 3]
[31, 124, 0, 4]
[32, 124, 0, 5]
[33, 124, 0, 6]
[34, 124, 0, 7]
[35, 124, 0, 8]
[36, 124, 0, 9]
[37, 124, 0, 10]
[37, 125, 1, 1]
[37, 126, 1, 2]
[37, 127, 1, 3]
[37, 128, 1, 4]
[38, 128, 0, 1]
[39, 128, 0, 2]
[40, 128, 0, 3]
[41, 128, 0, 4]
[42, 128, 0, 5]
[43, 128, 0, 6]
[44, 128, 0, 7]
[44, 129, 1, 1]
[44, 130, 1, 2]
[44, 131, 1, 3]
[44, 132, 1, 4]
[45, 132, 0, 1]
[46, 132, 0, 2]
[47, 132, 0, 3]
[48, 132, 0, 4]
[49, 132, 0, 5]
[50, 132, 0, 6]
[51, 132, 0, 7]
[52, 132, 0, 8]
[53, 132, 0, 9]
[54, 132, 0, 10]
[54, 133, 1, 1]
[54, 134, 1, 2]
[54, 135, 1, 3]
[54, 136, 1, 4]
[55, 136, 0, 1]
[56, 136, 0, 2]
[57, 136, 0, 3]
[58, 136, 0, 4]
[59, 136, 0, 5]
[60, 136, 0, 6]
[61, 136, 0, 7]
[62, 136, 0, 8]
[63, 136, 0, 9]
[64, 136, 0, 10]
[64, 137, 1, 1]
[64, 138, 1, 2]
[64, 139, 1, 3]
[64, 140, 1, 4]
[65, 140, 0, 1]
[66, 140, 0, 2]
[67, 140, 0, 3]
[68, 140, 0, 4]
[69, 140, 0, 5]
[70, 140, 0, 6]
[71, 140, 0, 7]
[71, 139, 3, 1]
[71, 138, 3, 2]
[71, 137, 3, 3]
[71, 136, 3, 4]
[72, 136, 0, 1]
[73, 136, 0, 2]
[74, 136, 0, 3]
[75, 136, 0, 4]
[76, 136, 0, 5]
[77, 136, 0, 6]
[78, 136, 0, 7]
[79, 136, 0, 8]
[79, 137, 1, 1]
[79, 138, 1, 2]
[79, 139, 1, 3]
[79, 140, 1, 4]
[80, 140, 0, 1]
[81, 140, 0, 2]
[82, 140, 0, 3]
[83, 140, 0, 4]
[84, 140, 0, 5]
[85, 140, 0, 6]
[86, 140, 0, 7]
[87, 140, 0, 8]
[87, 139, 3, 1]
[87, 138, 3, 2]
[87, 137, 3, 3]
[87, 136, 3, 4]
[87, 135, 3, 5]
[88, 135, 0, 1]
[89, 135, 0, 2]
[90, 135, 0, 3]
[91, 135, 0, 4]
[92, 135, 0, 5]
[93, 135, 0, 6]
[94, 135, 0, 7]
[95, 135, 0, 8]
[96, 135, 0, 9]
[96, 136, 1, 1]
[96, 137, 1, 2]
[96, 138, 1, 3]
[96, 139, 1, 4]
[97, 139, 0, 1]
[98, 139, 0, 2]
[99, 139, 0, 3]
[100, 139, 0, 4]
[101, 139, 0, 5]
[102, 139, 0, 6]
[103, 139, 0, 7]
[103, 138, 3, 1]
[103, 137, 3, 2]
[103, 136, 3, 3]
[103, 135, 3, 4]
[104, 135, 0, 1]
[105, 135, 0, 2]
[106, 135, 0, 3]
[107, 135, 0, 4]
[108, 135, 0, 5]
[109, 135, 0, 6]
[110, 135, 0, 7]
[111, 135, 0, 8]
[112, 135, 0, 9]
[113, 135, 0, 10]
[113, 134, 3, 1]
[113, 133, 3, 2]
[113, 132, 3, 3]
[113, 131, 3, 4]
[114, 131, 0, 1]
[115, 131, 0, 2]
[116, 131, 0, 3]
[117, 131, 0, 4]
[118, 131, 0, 5]
[119, 131, 0, 6]
[120, 131, 0, 7]
[121, 131, 0, 8]
[121, 132, 1, 1]
[121, 133, 1, 2]
[121, 134, 1, 3]
[121, 135, 1, 4]
[122, 135, 0, 1]
[123, 135, 0, 2]
[124, 135, 0, 3]
[125, 135, 0, 4]
[126, 135, 0, 5]
[127, 135, 0, 6]
[128, 135, 0, 7]
[129, 135, 0, 8]
[130, 135, 0, 9]
[130, 136, 1, 1]
[130, 137, 1, 2]
[130, 138, 1, 3]
[130, 139, 1, 4]
[130, 140, 1, 5]
[131, 140, 0, 1]
[132, 140, 0, 2]
[133, 140, 0, 3]
[134, 140, 0, 4]
[135, 140, 0, 5]
[136, 140, 0, 6]
[137, 140, 0, 7]
[138, 140, 0, 8]
[139, 140, 0, 9]
[140, 140, 0, 10]
